date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,mean_speed_cm_s,max_speed_cm_s,median_speed_cm_s,std_speed_cm_s,total_distance_cm,net_displacement_cm,straightness_index,movement_frames,stationary_frames,active_frames,activity_ratio,total_frames,valid_frames,tracking_efficiency,avg_segment_length,max_segment_length,tracking_quality,tracking_point,error
20250828,Group8,c04,Basler_c04_acA2040-90um (24827095)_20250828_124219702DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,10.972797892623385,82.19680275075906,7.975205427237141,12.057971765716555,4778.653482237484,17.741515289756347,0.0037126599272582802,871,93,778,0.8932261768082663,1201,872,0.7260616153205662,5.190476190476191,45,Medium,body_end,
20250831,Group9,c00,Basler_c00_acA2040-90um (24827095)_20250831_133735106DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,4.296065872563166,63.027785161429975,1.0492391738010707,6.347282977099496,2395.0567239539655,57.67746544934008,0.024081878676393588,1115,346,769,0.6896860986547085,1201,1116,0.929225645295587,21.46153846153846,148,High,body_end,
20250831,Group9,c01,Basler_c01_acA2040-90um (24827095)_20250831_141329974DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,6.600708899355187,43.806943082986194,3.685364072958745,7.88837788669848,3640.290957994385,31.97270361625137,0.00878300772800499,1103,300,803,0.7280145058930191,1201,1104,0.9192339716902581,26.285714285714285,117,High,body_end,
20250831,Group9,c02,Basler_c02_acA2040-90um (24827095)_20250831_131313168DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,4.071056171314328,51.83620661614361,1.9418072683309016,5.682049155828701,2186.1571639957933,30.977581091586586,0.014169878360879911,1074,316,758,0.7057728119180633,1201,1075,0.8950874271440467,14.144736842105264,163,High,body_end,
20250831,Group9,c03,Basler_c03_acA2040-90um (24827095)_20250831_142908253DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,8.377117285549316,84.84027872648312,6.132704425678507,9.22436142348749,3003.19654686943,19.025665535479202,0.006335138322968503,717,88,629,0.8772663877266388,1201,718,0.5978351373855121,9.573333333333334,64,Low,body_end,
20250831,Group9,c04,Basler_c04_acA2040-90um (24827095)_20250831_135712646DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,9.372216984627602,54.21252235017858,6.898956120570193,9.252000868099712,4986.019435821884,38.30188454243858,0.0076818562453367135,1064,171,893,0.8392857142857143,1201,1065,0.8867610324729392,12.678571428571429,62,High,body_end,
20250830,Group10,c00,Basler_c00_acA2040-90um (24827095)_20250830_150510999DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,9.041040462930496,59.048689392151935,6.648855113735504,9.021854739242338,4149.837572485098,35.25484774186882,0.008495476540002682,918,103,815,0.8877995642701525,1201,919,0.765195670274771,9.77659574468085,43,Medium,body_end,
20250830,Group10,c01,Basler_c01_acA2040-90um (24827095)_20250830_160029679DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,50.69804259411786,121.62421453460591,43.29205254722963,36.31555474223528,2205.364852844127,51.92318261075794,0.023544032881360068,87,1,86,0.9885057471264368,1201,88,0.07327227310574522,1.375,6,Low,body_end,
20250830,Group10,c02,Basler_c02_acA2040-90um (24827095)_20250830_161600473DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,7.44496361226596,48.453137050051296,4.496810758351666,8.457651476981287,3789.486478643374,16.417733220558176,0.004332442749983285,1018,174,844,0.8290766208251473,1201,1019,0.8484596169858452,13.233766233766234,87,High,body_end,
20250830,Group10,c03,Basler_c03_acA2040-90um (24827095)_20250830_154112412DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,20.8241860523253,109.2811183971857,16.030368980128607,20.24329494225298,4529.260466380752,27.42940607157144,0.006056045192183387,435,16,419,0.9632183908045977,1201,436,0.3630308076602831,2.5057471264367814,14,Low,body_end,
20250830,Group10,c04,Basler_c04_acA2040-90um (24827095)_20250830_152322462DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,0.041352822245230465,6.816810524733314,0.01812243485802771,0.2575335188952558,14.845663186037736,3.390549135154067,0.22838650538312494,718,664,54,0.07520891364902507,1201,719,0.5986677768526228,29.958333333333332,324,Low,body_end,
