video,date,batch,experiment_type,left_shelter_odor,right_shelter_odor,animal_id,time_left_shelter,time_right_shelter,time_open_area,percent_left,percent_right,percent_open,preferred_zone,preferred_odor,total_video_time,total_valid_time,total_frames,valid_frames,tracking_efficiency,avg_likelihood,frames_left_shelter,frames_right_shelter,error
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c04,0.5,1.5,252.0,0.19685039370078738,0.5905511811023622,99.21259842519686,right_shelter,Nothing,600.5,254.0,1201,508,42.298084929225645,0.9437717227485236,1,3,
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c00,0.0,0.0,343.5,0.0,0.0,100.0,open_area,open_area,600.5,343.5,1201,687,57.20233139050791,0.9511448667212519,0,0,
Basler_G08_acA2040-90um (24827095)_20250829_132827504DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-29,8,Iso/Nothing,Iso,Nothing,individual_c03,0.5,1.5,370.0,0.13440860215053765,0.4032258064516129,99.46236559139786,right_shelter,Nothing,600.5,372.0,1201,744,61.94837635303914,0.9447087113575269,1,3,
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c01,1.0,2.0,369.5,0.2684563758389262,0.5369127516778524,99.19463087248323,right_shelter,Nothing,600.5,372.5,1201,745,62.031640299750215,0.9635565226510067,2,4,
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c02,11.5,2.0,394.0,2.8220858895705523,0.49079754601227,96.68711656441718,left_shelter,Iso,600.5,407.5,1201,815,67.8601165695254,0.9671485573236196,23,4,
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c04,0.5,2.5,301.0,0.1644736842105263,0.8223684210526315,99.01315789473685,right_shelter,Nothing,600.5,304.0,1201,608,50.62447960033306,0.9580487703022204,1,5,
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c00,3.0,0.0,413.5,0.7202881152460985,0.0,99.2797118847539,left_shelter,Iso,600.5,416.5,1201,833,69.35886761032472,0.952311393307323,6,0,
Basler_G07_acA2040-90um (24827095)_20250828_130547622DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-28,7,Iso/Nothing,Iso,Nothing,individual_c03,0.0,0.0,328.5,0.0,0.0,100.0,open_area,open_area,600.5,328.5,1201,657,54.70441298917569,0.9574058219178082,0,0,
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c01,0.0,0.0,335.5,0.0,0.0,100.0,open_area,open_area,600.5,335.5,1201,671,55.87010824313072,0.9698793777943369,0,0,
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c02,0.0,0.0,227.0,0.0,0.0,100.0,open_area,open_area,600.5,227.0,1201,454,37.80183180682764,0.9666968526294053,0,0,
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c04,0.0,0.0,255.0,0.0,0.0,100.0,open_area,open_area,600.5,255.0,1201,510,42.464612822647794,0.9625268075980392,0,0,
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c00,0.5,0.5,299.5,0.16638935108153077,0.16638935108153077,99.66722129783693,open_area,open_area,600.5,300.5,1201,601,50.041631973355535,0.965525393874792,1,1,
Basler_G04_acA2040-90um (24827095)_20250822_173238702DLC_Resnet50_Group_AnalysisSep5shuffle1_snapshot_best-180_el.csv,2025-08-22,4,Feces/Nothing,Feces,Nothing,individual_c03,0.0,0.0,198.0,0.0,0.0,100.0,open_area,open_area,600.5,198.0,1201,396,32.97252289758534,0.9624109749842171,0,0,
